GeneID,Log2FC,P_val,P_val_adj,Cluster,point_type
P07478_PRSS2,-0.364511728503921,0.319748097716712,0.438885009125583,03_Esophageal,0_no_sig
P07737_PFN1,1.04815454943876,0.121688781392518,0.204365571103318,03_Esophageal,0_no_sig
P07900_HSP90AA1,0.353025925629762,0.609004366400948,0.692712137878369,03_Esophageal,0_no_sig
P07996_THBS1,1.98330866880796,4.74038618376441e-09,7.51192320150134e-08,03_Esophageal,2_right_sig
P08185_SERPINA6,-0.486584903262806,0.0411791551662716,0.0861292952378794,03_Esophageal,0_no_sig
P08195_SLC3A2,-1.40266619675745,0.0241542119528976,0.0546948652810341,03_Esophageal,0_no_sig
P08238_HSP90AB1,0.551738813120867,0.10523968882249,0.184330866005036,03_Esophageal,0_no_sig
P08493_MGP,-0.326978807913427,0.310523997124786,0.429320102562355,03_Esophageal,0_no_sig
P08519_LPA,0.32419159989365,0.259342681848929,0.373009247697074,03_Esophageal,0_no_sig
P08571_CD14,0.689204227967162,5.19489966135126e-05,0.000312240811224376,03_Esophageal,0_no_sig
P08603_CFH,1.10977492246752,7.44192553650102e-07,8.11800955311532e-06,03_Esophageal,2_right_sig
P08637_FCGR3A,-1.30126656693586,1.77288271123794e-06,1.65953447232273e-05,03_Esophageal,1_left_sig
P08670_VIM,-2.03143593942235,4.29324692218137e-06,3.50991252646511e-05,03_Esophageal,1_left_sig
P08697_SERPINF2,-1.0247874165573,1.28832040805256e-05,8.9711091829026e-05,03_Esophageal,1_left_sig
P08709_F7,0.693558186500329,0.0238132027017615,0.0541726643135691,03_Esophageal,0_no_sig
P08727_KRT19,0.090554854821594,0.940949924266163,0.95444636882674,03_Esophageal,0_no_sig
P08729_KRT7,2.62741120965372,0.0342532665484297,0.0740856636331567,03_Esophageal,0_no_sig
P08758_ANXA5,-0.647209114838798,0.326590219504148,0.445066862379162,03_Esophageal,0_no_sig
P08779_KRT16,-0.557793560293906,0.242830029124703,0.354618789335564,03_Esophageal,0_no_sig
P09172_DBH,-0.494752006601553,0.218959952087961,0.329016138532173,03_Esophageal,0_no_sig
P09382_LGALS1,-0.11183500608063,0.901445081163439,0.940996602091999,03_Esophageal,0_no_sig
P09651_HNRNPA1,0.52209296090925,0.564268342305044,0.658890027517751,03_Esophageal,0_no_sig
P09871_C1S,0.263465981333757,0.0682280145290492,0.131615528027321,03_Esophageal,0_no_sig
P09972_ALDOC,2.02537677550287,0.000191365614305241,0.000958506717265726,03_Esophageal,2_right_sig
P0C0L4_C4A,0.899505360148133,1.3423109155239e-05,9.12451824719221e-05,03_Esophageal,0_no_sig
P0C0L5_C4B,0.440209962602248,0.000106863096046535,0.00059822380237815,03_Esophageal,0_no_sig
P0C0S8_HIST1H2AG,2.11857078339834,8.35970859343461e-05,0.000472613228401105,03_Esophageal,2_right_sig
P0DJI8_SAA1,3.41308906644265,1.23225049782136e-06,1.21482713628734e-05,03_Esophageal,2_right_sig
P0DJI9_SAA2,0.356507091315887,0.66065021044711,0.732487903233591,03_Esophageal,0_no_sig
P0DMV8_HSPA1A,1.16188730877222,0.0108981430642997,0.0286766805977657,03_Esophageal,2_right_sig
P0DOX2_P0DOX2,0.406033896318203,0.0709528552757246,0.134598273629365,03_Esophageal,0_no_sig
P0DOX3_P0DOX3,0.346509653874994,0.118556544847133,0.200877706551077,03_Esophageal,0_no_sig
P0DOX4_P0DOX4,-0.116530432806764,0.836103730753099,0.885742542226381,03_Esophageal,0_no_sig
P0DOX5_P0DOX5,0.257815760947445,0.00129508087829251,0.00486507356253306,03_Esophageal,0_no_sig
P0DOX6_P0DOX6,1.77324898741537,2.25749242241886e-12,9.20734409429408e-11,03_Esophageal,2_right_sig
P0DOX7_P0DOX7,-0.979553208484152,1.40984625433753e-05,9.47084954384386e-05,03_Esophageal,0_no_sig
P0DOX8_P0DOX8,-0.324876276301609,0.119292097299666,0.201525998692631,03_Esophageal,0_no_sig
P0DOY3_IGLC3,0.0133949534201498,0.93359409249871,0.950235698425603,03_Esophageal,0_no_sig
P0DP01_IGHV1-8,1.43282144090182,2.9701242952267e-06,2.60913995780684e-05,03_Esophageal,2_right_sig
P0DP23_CALM1,0.486369982519017,0.507856771567442,0.622288018379849,03_Esophageal,0_no_sig
P0DTE1_P0DTE1,0.261677525062275,0.622611007903192,0.69982457778095,03_Esophageal,0_no_sig
P10412_HIST1H1E,4.5879295540808,0.000214072291547228,0.00104474596985869,03_Esophageal,2_right_sig
